State ID,State,Municipality ID,Municipality,Year,Students
26,Sonora,26002,Agua Prieta,2017,1431
26,Sonora,26002,Agua Prieta,2018,1560
26,Sonora,26002,Agua Prieta,2019,1563
26,Sonora,26002,Agua Prieta,2020,1679
26,Sonora,26002,Agua Prieta,2021,1643
26,Sonora,26003,Álamos,2017,224
26,Sonora,26003,Álamos,2018,248
26,Sonora,26003,Álamos,2019,218
26,Sonora,26003,Álamos,2020,248
26,Sonora,26003,Álamos,2021,251
26,Sonora,26012,Bácum,2017,1290
26,Sonora,26012,Bácum,2018,1203
26,Sonora,26012,Bácum,2019,1111
26,Sonora,26012,Bácum,2020,1180
26,Sonora,26012,Bácum,2021,1052
26,Sonora,26017,Caborca,2017,1800
26,Sonora,26017,Caborca,2018,1844
26,Sonora,26017,Caborca,2019,1727
26,Sonora,26017,Caborca,2020,1812
26,Sonora,26017,Caborca,2021,2008
26,Sonora,26018,Cajeme,2017,21806
26,Sonora,26018,Cajeme,2018,21716
26,Sonora,26018,Cajeme,2019,21054
26,Sonora,26018,Cajeme,2020,23256
26,Sonora,26018,Cajeme,2021,22488
26,Sonora,26019,Cananea,2017,1077
26,Sonora,26019,Cananea,2018,1108
26,Sonora,26019,Cananea,2019,1127
26,Sonora,26019,Cananea,2020,1363
26,Sonora,26019,Cananea,2021,1275
26,Sonora,26025,Empalme,2017,374
26,Sonora,26025,Empalme,2018,383
26,Sonora,26025,Empalme,2019,391
26,Sonora,26025,Empalme,2020,475
26,Sonora,26025,Empalme,2021,507
26,Sonora,26026,Etchojoa,2017,960
26,Sonora,26026,Etchojoa,2018,979
26,Sonora,26026,Etchojoa,2019,962
26,Sonora,26026,Etchojoa,2020,982
26,Sonora,26026,Etchojoa,2021,913
26,Sonora,26029,Guaymas,2017,4853
26,Sonora,26029,Guaymas,2018,3766
26,Sonora,26029,Guaymas,2019,5653
26,Sonora,26029,Guaymas,2020,6719
26,Sonora,26029,Guaymas,2021,6268
26,Sonora,26030,Hermosillo,2017,52871
26,Sonora,26030,Hermosillo,2018,55172
26,Sonora,26030,Hermosillo,2019,54777
26,Sonora,26030,Hermosillo,2020,58375
26,Sonora,26030,Hermosillo,2021,63543
