Amount Executed whit inflation 2021,grouper,Municipality ID,Municipality,Students
4927965126.63,2017,26002,Agua Prieta,1431
4927965126.63,2017,26003,Álamos,224
4927965126.63,2017,26012,Bácum,1290
4927965126.63,2017,26017,Caborca,1800
4927965126.63,2017,26018,Cajeme,21806
4927965126.63,2017,26019,Cananea,1077
4927965126.63,2017,26025,Empalme,374
4927965126.63,2017,26026,Etchojoa,960
4927965126.63,2017,26029,Guaymas,4853
4927965126.63,2017,26030,Hermosillo,52871
5620885256.43,2018,26002,Agua Prieta,1560
5620885256.43,2018,26003,Álamos,248
5620885256.43,2018,26012,Bácum,1203
5620885256.43,2018,26017,Caborca,1844
5620885256.43,2018,26018,Cajeme,21716
5620885256.43,2018,26019,Cananea,1108
5620885256.43,2018,26025,Empalme,383
5620885256.43,2018,26026,Etchojoa,979
5620885256.43,2018,26029,Guaymas,3766
5620885256.43,2018,26030,Hermosillo,55172
5882068944.27,2019,26002,Agua Prieta,1563
5882068944.27,2019,26003,Álamos,218
5882068944.27,2019,26012,Bácum,1111
5882068944.27,2019,26017,Caborca,1727
5882068944.27,2019,26018,Cajeme,21054
5882068944.27,2019,26019,Cananea,1127
5882068944.27,2019,26025,Empalme,391
5882068944.27,2019,26026,Etchojoa,962
5882068944.27,2019,26029,Guaymas,5653
5882068944.27,2019,26030,Hermosillo,54777
6414849338.7,2020,26002,Agua Prieta,1679
6414849338.7,2020,26003,Álamos,248
6414849338.7,2020,26012,Bácum,1180
6414849338.7,2020,26017,Caborca,1812
6414849338.7,2020,26018,Cajeme,23256
6414849338.7,2020,26019,Cananea,1363
6414849338.7,2020,26025,Empalme,475
6414849338.7,2020,26026,Etchojoa,982
6414849338.7,2020,26029,Guaymas,6719
6414849338.7,2020,26030,Hermosillo,58375
6779900503.0,2021,26002,Agua Prieta,1643
6779900503.0,2021,26003,Álamos,251
6779900503.0,2021,26012,Bácum,1052
6779900503.0,2021,26017,Caborca,2008
6779900503.0,2021,26018,Cajeme,22488
6779900503.0,2021,26019,Cananea,1275
6779900503.0,2021,26025,Empalme,507
6779900503.0,2021,26026,Etchojoa,913
6779900503.0,2021,26029,Guaymas,6268
6779900503.0,2021,26030,Hermosillo,63543
